machine_id,temp,vibration,pressure,failure
SIM0113,64.28,0.654,37.32,0
SIM0114,53.2,0.854,27.93,0
SIM0115,72.94,0.622,42.78,0
SIM0116,65.12,0.381,35.67,0
SIM0117,75.02,0.584,23.76,0
SIM0118,72.28,1.068,34.67,0
SIM0119,92.82,0.769,36.83,0
SIM0120,68.89,0.03,41.32,0
SIM0121,58.69,0.507,32.81,0
SIM0122,74.33,1.186,40.38,1
SIM0123,74.86,0.507,36.22,0
SIM0124,89.67,0.03,26.45,0
SIM0125,82.86,1.224,25.8,1
SIM0126,76.64,0.812,42.3,0
SIM0127,91.02,0.556,42.77,0
SIM0128,56.55,0.454,37.1,0
SIM0129,63.68,0.948,44.72,0
SIM0130,59.95,0.396,41.87,0
SIM0131,66.93,0.97,39.44,0
SIM0132,54.1,0.764,29.08,0
SIM0133,80.26,0.663,46.25,0
SIM0134,69.11,0.629,38.49,0
SIM0135,52.88,0.521,32.49,0
SIM0136,58.8,0.936,30.66,0
SIM0137,76.08,0.286,36.67,0
SIM0138,82.9,0.03,24.14,0
SIM0139,97.96,0.789,39.55,0
SIM0140,109.88,0.795,28.8,0
SIM0141,77.39,0.743,37.41,0
SIM0142,59.14,0.719,31.61,0
SIM0143,44.28,0.471,33.28,0
SIM0144,75.48,0.848,30.08,0
SIM0145,61.43,0.565,33.95,0
SIM0146,66.6,0.414,47.28,0
SIM0147,64.04,0.474,44.0,0
SIM0148,70.17,1.267,37.3,0
SIM0149,85.86,0.03,34.84,0
SIM0150,74.04,0.75,40.49,0
SIM0151,69.94,0.03,42.34,0
SIM0152,58.54,0.543,29.61,0
SIM0153,50.23,0.433,34.5,0
SIM0154,65.68,0.03,23.16,0
SIM0155,71.3,0.712,42.3,0
SIM0156,94.98,0.451,48.42,1
SIM0157,73.69,0.03,35.52,0
SIM0158,84.78,0.865,21.19,0
SIM0159,65.51,1.068,38.96,0
SIM0160,56.6,1.087,29.12,0
SIM0161,59.45,0.702,30.69,0
SIM0162,62.57,0.596,39.07,0
SIM0163,99.67,1.032,36.65,0
SIM0164,61.32,1.152,31.83,0
SIM0165,82.9,0.965,30.78,0
SIM0166,60.26,0.26,35.82,0
SIM0167,84.11,0.648,32.34,0
SIM0168,77.0,0.729,27.79,0
SIM0169,69.96,0.03,32.84,0
SIM0170,71.47,0.74,37.21,0
SIM0171,63.49,1.353,33.84,1
SIM0172,77.8,0.798,25.81,1
SIM0173,66.09,1.081,41.43,0
SIM0174,56.07,0.642,18.0,0
SIM0175,55.39,0.555,32.1,0
SIM0176,74.24,0.71,30.97,0
SIM0177,92.53,0.303,35.96,0
SIM0178,74.08,0.252,38.65,0
SIM0179,70.46,1.011,42.32,0
SIM0180,75.72,1.047,30.37,0
SIM0181,88.98,0.243,38.81,0
SIM0182,74.85,0.909,36.27,0
SIM0183,66.66,0.55,23.87,0
SIM0184,86.38,0.696,47.35,0
SIM0185,77.57,0.736,25.65,0
SIM0186,91.96,0.918,37.73,0
SIM0187,74.38,0.608,37.53,0
SIM0188,56.08,1.059,36.79,0
SIM0189,54.21,0.685,31.79,0
SIM0190,93.46,0.792,40.38,0
SIM0191,94.41,0.297,24.86,0
SIM0192,69.67,1.314,34.57,0
SIM0193,67.02,0.74,31.33,0
SIM0194,91.0,0.822,30.6,0
SIM0195,57.61,0.033,37.79,0
SIM0196,60.37,0.3,42.0,0
SIM0197,80.36,1.001,32.77,1
SIM0198,66.87,0.678,40.07,0
SIM0199,71.93,0.03,35.32,0
SIM0200,69.88,0.933,29.2,1
SIM0201,76.39,0.395,33.32,1
SIM0202,90.3,1.06,33.05,0
SIM0203,73.18,0.55,30.47,0
SIM0204,80.37,0.65,37.79,0
SIM0205,45.35,0.981,36.53,0
SIM0206,71.37,0.275,24.66,0
SIM0207,61.04,0.242,24.27,0
SIM0208,56.16,0.513,37.76,0
SIM0209,60.58,0.861,29.7,0
SIM0210,67.66,0.128,36.96,0
SIM0211,83.91,0.03,40.08,0
SIM0212,54.76,0.86,26.74,0
SIM0213,72.4,0.375,25.83,0
SIM0214,65.71,0.447,45.88,0
SIM0215,67.74,0.03,37.29,0
SIM0216,85.04,0.349,32.27,0
SIM0217,79.0,0.577,28.93,0
SIM0218,89.39,0.896,31.68,0
SIM0219,69.99,0.318,27.26,0
SIM0220,62.95,1.144,40.74,0
SIM0221,69.09,0.347,29.95,0
SIM0222,75.15,0.348,42.11,0
SIM0223,74.3,1.103,32.4,0
SIM0224,57.9,0.652,28.22,0
SIM0225,73.18,0.392,32.23,0
SIM0226,74.97,0.527,18.0,0
SIM0227,104.73,1.04,34.22,0
SIM0228,96.4,1.079,33.89,0
SIM0229,60.91,0.302,40.36,0
SIM0230,68.26,0.566,22.74,0
SIM0231,52.98,0.611,42.55,0
SIM0232,64.32,0.245,40.33,0
SIM0233,76.1,0.561,43.14,0
SIM0234,87.68,0.582,34.66,0
SIM0235,62.52,0.968,41.59,0
SIM0236,63.5,0.991,25.44,0
SIM0237,44.09,0.468,39.63,0
SIM0238,69.89,0.507,29.99,0
SIM0239,58.19,0.806,24.27,0
SIM0240,65.12,0.381,27.69,0
SIM0241,60.6,0.78,35.04,0
SIM0242,70.77,0.55,29.64,0
SIM0243,49.15,0.25,37.44,0
SIM0244,52.93,0.255,23.25,0
SIM0245,99.68,1.072,21.17,1
SIM0246,55.26,0.527,43.92,0
SIM0247,57.74,1.138,40.87,0
SIM0248,95.88,0.405,28.18,1
SIM0249,109.77,0.679,34.98,0
SIM0250,56.77,1.394,41.63,0
SIM0251,67.21,0.22,37.72,0
SIM0252,76.44,0.03,35.96,0
SIM0253,94.47,1.017,42.12,1
SIM0254,59.17,0.299,30.25,0
SIM0255,68.81,0.573,35.2,0
SIM0256,82.11,0.381,34.88,0
SIM0257,77.65,0.671,33.23,0
SIM0258,67.11,0.257,32.47,1
SIM0259,70.26,0.519,35.47,0
SIM0260,54.13,0.733,35.22,0
SIM0261,68.9,0.237,28.19,0
SIM0262,68.54,0.342,40.21,0
SIM0263,75.02,0.462,28.65,0
SIM0264,64.78,0.094,33.58,0
SIM0265,78.13,0.436,33.08,0
SIM0266,85.17,0.62,37.33,0
SIM0267,74.02,0.444,21.23,0
SIM0268,76.57,0.488,40.79,0
SIM0269,72.69,0.573,30.6,0
SIM0270,72.0,0.357,42.93,0
SIM0271,62.62,0.815,31.89,0
SIM0272,76.11,1.068,34.68,0
SIM0273,70.74,0.422,47.44,0
SIM0274,99.21,0.745,33.2,1
SIM0275,92.45,0.499,43.05,0
SIM0276,77.02,0.704,35.25,1
SIM0277,62.08,1.112,37.7,0
SIM0278,57.54,0.753,35.45,0
SIM0279,87.48,0.03,40.51,0
SIM0280,75.42,0.734,30.54,0
SIM0281,78.24,0.999,28.6,0
SIM0282,49.32,0.505,30.85,0
SIM0283,84.06,0.919,35.65,0
SIM0284,77.91,0.345,33.56,0
SIM0285,57.56,0.075,39.62,0
SIM0286,65.87,0.628,43.48,0
SIM0287,75.43,0.03,28.66,0
SIM0288,72.68,0.498,30.23,0
SIM0289,68.2,1.018,25.66,0
SIM0290,70.65,0.03,48.2,0
SIM0291,68.72,0.145,36.98,0
SIM0292,73.98,0.229,38.12,0
SIM0293,91.13,0.558,26.29,0
SIM0294,40.0,0.456,34.99,0
SIM0295,68.92,1.056,38.31,0
SIM0296,74.29,0.904,33.36,0
SIM0297,75.85,0.748,41.99,0
SIM0298,67.17,0.63,50.03,0
SIM0299,49.16,0.714,28.84,0
SIM0300,76.26,0.287,28.36,0
SIM0301,94.46,0.871,29.29,0
SIM0302,52.06,0.202,45.44,0
SIM0303,83.23,0.864,41.78,0
SIM0304,67.73,0.983,34.12,0
SIM0305,71.2,0.652,35.24,0
SIM0306,58.31,0.52,29.69,0
SIM0307,67.65,0.716,40.79,1
SIM0308,88.9,0.03,32.53,0
SIM0309,79.57,0.683,33.31,0
SIM0310,94.52,0.541,38.96,0
SIM0311,87.31,0.563,33.78,0
SIM0312,77.71,0.82,33.47,0
SIM0313,94.67,0.555,35.07,1
SIM0314,77.71,0.192,40.17,0
SIM0315,82.76,0.532,45.7,0
SIM0316,68.14,0.603,38.81,0
SIM0317,72.87,0.619,40.22,0
SIM0318,62.93,0.635,33.7,0
SIM0319,84.86,0.933,30.4,0
SIM0320,56.68,0.211,39.25,0
SIM0321,82.17,0.64,36.11,0
SIM0322,69.52,1.019,25.75,0
SIM0323,87.23,0.03,32.87,0
SIM0324,81.76,0.641,34.46,0
SIM0325,95.67,0.381,31.68,0
SIM0326,81.5,0.454,44.63,0
SIM0327,51.56,0.272,38.12,0
SIM0328,71.13,0.522,43.93,0
SIM0329,56.76,1.206,36.71,0
SIM0330,65.26,0.15,35.53,0
SIM0331,91.65,0.182,28.91,0
SIM0332,80.29,0.137,35.08,0
SIM0333,62.91,1.167,35.08,0
SIM0334,58.82,0.423,26.11,0
SIM0335,72.43,0.571,31.49,0
SIM0336,56.18,0.443,32.9,0
SIM0337,63.28,0.259,37.69,0
SIM0338,76.06,0.5,38.0,0
SIM0339,87.02,1.416,31.22,0
SIM0340,79.91,1.053,38.05,0
SIM0341,42.21,0.29,33.82,0
SIM0342,75.96,0.8,18.0,0
SIM0343,72.94,0.297,31.85,0
SIM0344,77.38,0.03,42.01,0
SIM0345,93.01,0.927,24.07,1
SIM0346,45.18,0.974,35.73,0
SIM0347,64.32,0.936,45.3,0
SIM0348,79.68,0.42,30.06,0
SIM0349,51.44,0.523,35.01,0
SIM0350,91.19,0.835,26.52,0
SIM0351,76.79,0.713,45.58,0
SIM0352,83.01,0.446,34.46,0
SIM0353,64.58,0.03,35.3,0
SIM0354,82.58,0.619,43.8,0
SIM0355,85.89,0.947,39.3,0
SIM0356,75.03,0.173,29.31,0
SIM0357,75.05,0.797,30.79,0
SIM0358,75.51,0.693,38.22,0
SIM0359,60.78,0.835,30.94,0
SIM0360,70.08,0.876,21.24,0
SIM0361,70.02,0.344,34.65,0
SIM0362,76.98,0.03,25.38,0
SIM0363,85.0,0.399,45.51,0
SIM0364,58.24,0.882,36.15,0
SIM0365,70.37,0.396,29.12,0
SIM0366,91.26,0.344,30.46,0
SIM0367,62.33,0.03,22.72,0
SIM0368,61.31,1.176,27.85,0
SIM0369,74.63,0.861,41.61,0
SIM0370,82.98,0.842,49.51,0
SIM0371,72.15,0.909,39.72,0
SIM0372,89.28,0.776,34.4,0
SIM0373,83.14,0.497,32.19,0
SIM0374,82.94,0.524,28.78,0
SIM0375,79.2,0.435,48.39,0
SIM0376,102.26,1.476,33.77,1
SIM0377,69.33,0.769,48.75,0
SIM0378,45.95,0.422,44.06,0
SIM0379,92.86,0.738,23.68,0
SIM0380,66.05,0.236,30.67,0
SIM0381,73.4,1.092,30.65,0
SIM0382,89.02,0.355,34.48,0
SIM0383,51.17,0.75,34.61,0
SIM0384,55.73,0.942,54.48,0
SIM0385,51.18,0.711,28.0,0
SIM0386,61.68,0.612,36.49,0
SIM0387,77.72,0.584,39.01,0
SIM0388,78.81,0.561,34.99,1
SIM0389,75.59,0.384,35.72,0
SIM0390,53.63,0.427,28.21,0
SIM0391,41.97,1.083,35.69,0
SIM0392,72.71,0.543,38.32,0
SIM0393,65.87,0.313,37.13,0
SIM0394,77.97,0.404,38.71,0
SIM0395,81.13,0.954,44.18,1
SIM0396,73.8,0.81,41.09,0
SIM0397,81.88,0.771,35.46,0
SIM0398,74.98,0.492,27.38,0
SIM0399,78.89,0.775,31.1,0
SIM0400,62.84,0.361,33.57,0
SIM0401,69.67,0.492,36.64,0
SIM0402,74.56,0.91,31.89,0
SIM0403,82.67,0.877,28.92,0
SIM0404,66.88,0.246,27.28,0
SIM0405,78.78,0.289,24.27,0
SIM0406,68.54,0.617,33.47,0
SIM0407,70.47,1.167,25.45,0
SIM0408,82.78,0.03,28.5,0
SIM0409,46.09,0.675,32.44,0
SIM0410,55.15,0.112,26.32,0
SIM0411,52.73,0.364,37.47,0
SIM0412,41.66,0.456,39.81,0
SIM0413,63.18,0.437,31.43,0
SIM0414,81.74,0.399,32.16,0
SIM0415,68.3,0.582,38.49,0
SIM0416,74.57,0.398,30.36,0
SIM0417,86.16,0.083,29.91,0
SIM0418,89.26,0.845,42.78,0
SIM0419,71.1,0.836,40.75,0
SIM0420,89.6,0.867,38.91,0
SIM0421,73.2,0.056,41.02,0
SIM0422,61.11,0.682,22.15,0
SIM0423,64.27,0.81,43.8,0
SIM0424,52.75,0.229,37.55,0
SIM0425,60.45,0.583,41.57,0
SIM0426,67.35,0.54,37.52,0
SIM0427,82.45,1.206,35.32,1
SIM0428,94.37,1.234,33.21,1
SIM0429,54.03,0.03,37.39,0
SIM0430,77.11,1.428,32.97,0
SIM0431,58.47,0.269,40.64,0
SIM0432,78.17,0.913,24.69,1
SIM0433,70.3,0.91,31.48,0
SIM0434,48.2,0.241,48.29,0
SIM0435,84.07,0.748,30.93,0
SIM0436,64.13,0.543,33.45,0
SIM0437,65.06,0.768,29.26,0
SIM0438,58.09,0.658,37.18,0
SIM0439,63.49,0.987,30.21,0
SIM0440,77.56,0.606,33.79,0
SIM0441,69.54,0.523,40.52,0
SIM0442,76.27,0.953,30.46,0
SIM0443,76.7,0.777,40.13,0
SIM0444,89.17,0.829,40.34,0
SIM0445,67.54,0.354,41.86,0
SIM0446,52.8,0.225,35.91,0
SIM0447,85.87,0.387,56.0,0
SIM0448,67.69,0.369,41.85,0
SIM0449,86.49,0.847,37.11,0
SIM0450,76.98,0.912,29.31,0
SIM0451,70.3,0.527,34.37,0
SIM0452,76.53,1.067,44.27,1
SIM0453,97.36,1.045,46.11,0
SIM0454,99.0,0.663,44.61,0
SIM0455,72.9,0.301,40.1,0
SIM0456,74.08,1.116,26.84,0
SIM0457,85.99,0.559,38.17,0
SIM0458,61.01,0.623,26.93,0
SIM0459,76.33,0.465,25.33,0
SIM0460,71.66,0.277,36.55,0
SIM0461,76.08,0.081,38.4,0
SIM0462,61.17,0.795,40.87,0
SIM0463,51.34,0.314,38.23,0
SIM0464,45.05,1.62,38.46,0
SIM0465,57.47,0.211,28.6,0
SIM0466,66.04,0.152,34.32,0
SIM0467,68.19,0.753,25.2,0
SIM0468,97.18,1.1,21.98,1
SIM0469,86.38,0.602,39.81,0
SIM0470,59.49,0.775,30.1,0
SIM0471,76.52,0.03,40.67,0
SIM0472,66.71,0.35,42.2,0
SIM0473,68.3,0.215,30.97,0
SIM0474,74.41,0.03,38.84,0
SIM0475,80.05,0.62,30.7,0
SIM0476,67.59,0.03,23.0,0
SIM0477,85.83,0.13,35.8,0
SIM0478,57.15,0.397,31.94,0
SIM0479,72.08,0.297,32.14,0
SIM0480,105.77,0.715,47.84,1
SIM0481,74.9,0.684,25.08,0
SIM0482,90.63,0.884,37.49,0
SIM0483,73.19,0.836,28.53,0
SIM0484,79.55,0.968,40.9,1
SIM0485,71.26,0.579,36.94,0
SIM0486,69.78,0.683,37.47,0
SIM0487,61.87,0.754,28.86,0
SIM0488,77.59,0.628,30.02,0
SIM0489,60.93,0.445,41.03,0
SIM0490,80.65,0.467,46.51,0
SIM0491,86.11,0.302,38.12,0
SIM0492,76.76,0.723,29.17,0
SIM0493,68.28,0.548,37.2,0
SIM0494,77.9,0.355,50.78,1
SIM0495,67.99,0.355,35.67,0
SIM0496,84.16,0.168,44.5,0
SIM0497,48.19,0.913,30.19,0
SIM0498,67.64,0.607,34.73,0
SIM0499,46.12,0.287,39.03,0
SIM0500,52.56,0.855,37.58,0
SIM0501,89.73,0.389,30.02,0
SIM0502,83.64,0.102,29.74,0
SIM0503,62.65,0.927,41.42,0
SIM0504,52.47,0.397,42.75,0
SIM0505,40.0,0.441,44.83,0
SIM0506,64.93,0.594,46.73,0
SIM0507,103.47,0.968,35.88,1
SIM0508,77.65,0.587,32.98,0
SIM0509,64.73,0.172,43.78,0
SIM0510,78.05,0.765,39.63,0
SIM0511,51.71,0.415,28.61,0
SIM0512,68.13,1.222,28.28,0
SIM0513,73.29,0.58,38.2,0
SIM0514,70.88,0.03,33.85,0
SIM0515,82.28,0.702,34.83,0
SIM0516,76.48,1.241,41.97,1
SIM0517,80.69,1.116,39.93,0
SIM0518,63.05,1.203,43.64,0
SIM0519,83.67,0.233,22.45,0
SIM0520,93.18,0.89,36.65,1
SIM0521,59.39,0.335,39.52,0
SIM0522,60.46,0.656,25.08,0
SIM0523,89.37,0.147,30.74,0
SIM0524,69.51,0.361,29.54,0
SIM0525,90.25,0.35,35.14,0
SIM0526,66.25,0.886,45.58,0
SIM0527,90.92,0.852,48.15,0
SIM0528,73.71,0.674,29.71,0
SIM0529,75.36,0.121,38.42,0
SIM0530,92.34,0.474,38.63,0
SIM0531,67.3,0.326,37.52,0
SIM0532,59.77,0.876,37.59,0
SIM0533,66.17,0.981,36.97,0
SIM0534,77.88,0.939,45.97,1
SIM0535,51.65,0.323,42.17,0
SIM0536,80.29,0.03,28.11,0
SIM0537,65.0,0.03,40.17,0
SIM0538,86.92,1.063,40.8,0
SIM0539,40.87,0.444,37.05,0
SIM0540,61.77,0.325,42.35,0
SIM0541,50.08,1.139,36.22,0
SIM0542,61.26,1.01,36.3,0
SIM0543,75.22,0.588,35.79,0
SIM0544,69.67,0.48,21.88,0
SIM0545,68.71,0.535,34.48,0
SIM0546,69.93,0.657,30.66,0
SIM0547,74.64,1.124,27.29,0
SIM0548,58.89,0.724,44.32,0
SIM0549,81.19,0.827,38.28,0
SIM0550,80.61,0.978,34.81,0
SIM0551,77.01,0.182,31.33,1
SIM0552,79.23,0.837,36.93,0
SIM0553,75.85,0.48,41.44,0
SIM0554,98.46,0.03,29.62,0
SIM0555,70.87,0.03,34.97,0
SIM0556,68.01,0.234,40.64,0
SIM0557,62.2,0.761,22.42,0
SIM0558,58.58,0.619,34.63,0
SIM0559,55.82,0.643,32.21,0
SIM0560,60.45,1.243,34.13,0
SIM0561,71.08,0.149,31.74,0
SIM0562,76.35,0.571,35.89,0
SIM0563,72.66,0.684,47.5,0
SIM0564,62.05,0.33,32.89,0
SIM0565,83.7,0.59,36.9,0
SIM0566,81.61,0.036,47.97,0
SIM0567,69.92,1.059,31.42,0
SIM0568,63.51,0.348,46.8,0
SIM0569,79.13,1.271,35.03,0
SIM0570,74.44,0.569,46.58,0
SIM0571,53.17,0.93,39.88,0
SIM0572,71.12,0.562,37.0,0
SIM0573,75.41,0.57,34.57,0
SIM0574,60.3,0.381,30.94,0
SIM0575,74.47,0.621,35.49,0
SIM0576,53.09,0.688,40.83,0
SIM0577,89.37,0.313,34.91,0
SIM0578,88.22,0.537,32.94,0
SIM0579,68.72,0.373,33.37,0
SIM0580,76.72,1.362,41.45,1
SIM0581,40.67,0.549,42.96,0
SIM0582,56.97,1.105,30.66,0
SIM0583,68.18,0.513,30.65,0
SIM0584,58.06,0.668,37.47,0
SIM0585,81.29,0.131,44.93,0
SIM0586,97.96,0.428,42.45,0
SIM0587,56.7,0.652,26.86,0
SIM0588,61.11,1.119,33.28,0
SIM0589,75.06,0.655,28.95,0
SIM0590,92.94,1.05,33.26,0
SIM0591,56.11,0.798,45.43,0
SIM0592,75.24,1.133,25.75,1
SIM0593,95.68,0.56,24.48,0
SIM0594,50.53,1.393,29.61,0
SIM0595,55.35,0.415,36.87,0
SIM0596,66.49,0.319,39.03,0
SIM0597,65.23,0.169,37.84,0
SIM0598,82.56,1.373,42.64,0
SIM0599,75.14,0.859,23.54,0
SIM0600,48.93,0.466,42.72,0
SIM0601,78.7,1.005,32.97,0
SIM0602,64.49,0.814,39.75,0
SIM0603,88.57,1.248,26.4,0
SIM0604,63.84,0.054,35.03,0
SIM0605,63.72,0.49,36.54,0
SIM0606,79.03,0.423,42.51,0
SIM0607,81.92,0.03,24.7,0
SIM0608,77.83,0.941,35.2,0
SIM0609,50.09,0.488,27.95,0
SIM0610,78.99,0.831,38.29,0
SIM0611,58.55,1.382,40.05,0
SIM0612,75.06,0.46,43.37,0
SIM0613,53.49,0.437,31.52,0
SIM0614,77.8,0.62,41.03,0
SIM0615,61.51,0.916,43.85,0
SIM0616,55.33,0.387,24.32,0
SIM0617,81.28,0.365,38.98,0
SIM0618,75.14,0.939,41.23,0
SIM0619,64.02,0.709,33.32,0
SIM0620,90.87,0.03,27.13,0
SIM0621,66.27,0.163,41.13,0
SIM0622,72.42,1.09,27.2,0
SIM0623,75.5,0.717,33.84,0
SIM0624,63.94,0.321,34.74,0
SIM0625,78.12,0.522,39.65,0
SIM0626,65.07,0.585,30.93,0
SIM0627,66.65,0.83,30.55,0
SIM0628,89.71,0.118,35.64,0
SIM0629,58.47,0.294,41.54,0
SIM0630,40.63,0.673,49.87,0
SIM0631,92.94,0.546,25.2,0
SIM0632,105.14,0.774,37.05,0
SIM0633,66.73,0.162,27.94,0
SIM0634,46.82,0.701,41.62,0
SIM0635,67.96,0.951,28.9,0
SIM0636,68.28,0.746,30.61,0
SIM0637,69.53,0.627,31.17,1
SIM0638,57.53,0.547,34.5,0
SIM0639,79.53,0.296,37.1,0
SIM0640,78.82,0.556,38.14,0
SIM0641,52.57,1.008,34.96,0
SIM0642,81.09,0.54,26.36,0
SIM0643,98.68,0.277,39.73,0
SIM0644,74.24,0.413,34.66,0
SIM0645,67.61,0.648,42.55,0
SIM0646,70.15,0.453,30.4,0
SIM0647,80.0,0.745,24.59,0
SIM0648,49.5,0.758,34.78,0
SIM0649,74.14,0.882,43.42,0
SIM0650,66.92,1.064,36.05,0
SIM0651,96.02,0.919,33.7,0
SIM0652,69.74,0.262,29.34,0
SIM0653,93.68,0.273,46.43,0
SIM0654,57.65,0.554,28.31,0
SIM0655,79.63,0.427,30.28,0
SIM0656,76.15,0.193,38.71,0
SIM0657,60.7,0.43,22.94,1
SIM0658,74.31,0.419,43.28,0
SIM0659,87.76,0.352,39.06,0
SIM0660,67.79,0.473,40.85,0
SIM0661,50.0,0.981,38.63,0
SIM0662,71.77,0.648,33.95,0
SIM0663,60.27,1.42,28.09,0
SIM0664,67.55,0.638,34.09,0
SIM0665,70.94,0.481,28.66,0
SIM0666,49.83,0.581,38.16,0
SIM0667,51.0,0.667,40.24,0
SIM0668,78.27,0.728,44.6,0
SIM0669,65.2,1.286,37.42,0
SIM0670,40.0,0.293,41.01,0
SIM0671,82.2,0.872,33.07,0
SIM0672,75.54,0.651,31.89,0
SIM0673,62.72,0.046,38.08,0
SIM0674,54.88,0.842,32.49,0
SIM0675,82.87,1.011,36.75,0
SIM0676,76.54,0.289,28.1,0
SIM0677,102.97,0.577,29.27,0
SIM0678,77.46,0.03,39.13,0
SIM0679,77.04,0.152,40.76,0
SIM0680,69.83,0.936,28.59,0
SIM0681,82.62,0.421,39.36,0
SIM0682,80.13,0.203,31.54,0
SIM0683,88.27,0.658,35.11,0
SIM0684,65.22,0.402,44.21,0
SIM0685,66.34,0.42,40.25,0
SIM0686,65.77,0.831,40.17,0
SIM0687,82.28,0.185,47.41,0
SIM0688,91.48,0.272,30.42,0
SIM0689,66.04,0.632,28.59,0
SIM0690,66.48,0.91,30.31,0
SIM0691,76.08,1.001,33.35,0
SIM0692,68.81,0.354,19.7,0
SIM0693,84.38,0.899,33.65,0
SIM0694,42.73,0.313,31.46,0
SIM0695,61.25,1.201,40.09,0
SIM0696,61.83,0.195,37.29,0
SIM0697,41.84,1.032,31.1,0
SIM0698,59.47,0.357,38.83,0
